gene,DoTT_by_Readout,log2FC_4sU,Upregulated,DEstatus.2
FJX1,FALSE,-4.272299411980678,FALSE,FALSE
RNF170,TRUE,-3.4280771858963597,FALSE,FALSE
PDLIM2,FALSE,-2.7308340099948145,FALSE,FALSE
AC010729.2,FALSE,5.300123724569014,TRUE,FALSE
PPP3CC,TRUE,-1.4696418172395163,FALSE,FALSE
PCGF3,TRUE,-2.4397822467618058,FALSE,FALSE
CYB561D1,FALSE,-5.192356047581639,FALSE,FALSE
MTRNR2L9,FALSE,0.6554166994523274,FALSE,FALSE
C15ORF37,FALSE,-2.950846515647137,FALSE,FALSE
FAM21D,FALSE,-0.9339738336362864,FALSE,FALSE
RP11-797A18.4,TRUE,2.3826240265749163,TRUE,TRUE
MIR4458HG,TRUE,-2.017629894021791,FALSE,FALSE
MYO9B,FALSE,-2.331148428476043,FALSE,FALSE
OCEL1,TRUE,-1.7559904198479623,FALSE,FALSE
MGA,TRUE,-1.7211278998316832,FALSE,FALSE
MZF1,TRUE,-2.9185901633520364,FALSE,FALSE
WDHD1,TRUE,-1.313424196665466,FALSE,FALSE
PSMD8,TRUE,-1.9350782391526666,FALSE,FALSE
KCNK6,FALSE,-3.3522747471393517,FALSE,FALSE
DDAH1,FALSE,-3.804923590049535,FALSE,FALSE
MAST3,FALSE,-2.109624491174498,FALSE,FALSE
LYPLA1,FALSE,-3.902813743610103,FALSE,FALSE
IDH2,FALSE,-2.8694743539276284,FALSE,FALSE
AVL9,FALSE,-3.485974859481063,FALSE,FALSE
CYBRD1,FALSE,-3.2520854060411652,FALSE,FALSE
SLC35C1,FALSE,-4.319151010216789,FALSE,FALSE
GTPBP10,FALSE,-1.0218108339913279,FALSE,FALSE
CCDC43,TRUE,-1.2031938478496067,FALSE,FALSE
TIMM21,TRUE,-2.1853402773191624,FALSE,FALSE
SEMA3D,TRUE,-3.19062194615539,FALSE,FALSE
MPP6,TRUE,-0.5069599887198832,FALSE,FALSE
DFNA5,TRUE,-1.825626765756132,FALSE,FALSE
